0,29
1,79
2,105
3,86
4,90
5,71
6,132
7,107
8,30
9,92
10,82
11,22
12,9
13,20
14,135
15,147
16,54
17,98
18,60
19,0
20,76
21,80
22,103
23,2
24,77
25,50
26,25
27,56
28,96
29,44
30,72
31,91
32,42
33,108
34,119
35,12
36,112
37,70
38,148
39,65
40,37
41,110
42,27
43,69
44,127
45,49
46,55
47,120
48,5
49,124
50,146
51,36
52,106
53,4
54,128
55,13
56,97
57,117
58,87
59,75
60,116
61,63
62,78
63,130
64,52
65,23
66,14
67,89
68,28
69,84
70,18
71,3
72,21
73,111
74,122
75,81
76,59
77,39
78,141
79,47
80,113
81,43
82,85
83,31
84,129
85,101
86,62
87,109
88,6
89,17
90,140
91,139
92,10
93,48
94,136
95,46
96,58
97,61
98,35
99,57
100,8
101,73
102,125
103,149
104,115
105,93
106,118
107,19
108,15
109,67
110,1
111,64
112,66
113,145
114,95
115,41
116,34
117,45
118,121
119,126
120,53
121,138
122,68
123,144
124,102
125,131
126,38
127,11
128,16
129,32
130,88
131,104
132,24
133,83
134,142
135,99
136,94
137,51
138,40
139,74
140,7
141,137
142,133
143,143
144,134
145,114
146,33
147,26
148,123
149,100
