0,83,54
1,44,122
2,24,49
3,47,22
4,120,99
5,55,36
6,39,33
7,73,103
8,108,60
9,8,12
10,109,83
11,36,34
12,112,108
13,123,4
14,106,71
15,50,70
16,122,84
17,22,105
18,51,114
19,115,143
20,10,13
21,98,95
22,104,51
23,128,40
24,76,140
25,149,132
26,41,87
27,141,127
28,99,106
29,121,2
30,113,24
31,148,72
32,117,58
33,30,44
34,27,17
35,136,141
36,119,18
37,97,7
38,49,80
39,78,20
40,74,142
41,96,116
42,85,21
43,131,35
44,31,27
45,77,57
46,18,109
47,134,74
48,13,90
49,126,104
50,86,76
51,59,148
52,11,61
53,52,89
54,33,125
55,93,133
56,48,0
57,82,97
58,0,56
59,2,62
60,125,47
61,57,63
62,88,81
63,132,19
64,118,102
65,62,78
66,146,50
67,1,31
68,28,28
69,45,30
70,42,5
71,79,93
72,116,145
73,7,25
74,124,9
75,58,147
76,34,67
77,15,131
78,64,126
79,81,92
80,142,38
81,91,46
82,14,86
83,29,73
84,25,64
85,23,23
86,54,115
87,129,139
88,80,29
89,84,107
90,89,146
91,75,52
92,90,128
93,5,88
94,71,16
95,20,8
96,139,123
97,127,129
98,110,15
99,3,149
100,114,10
101,95,135
102,102,26
103,46,112
104,56,119
105,4,75
106,17,120
107,145,43
108,37,41
109,135,118
110,40,48
111,70,39
112,143,124
113,69,94
114,133,69
115,26,96
116,103,32
117,111,1
118,100,136
119,38,100
120,65,111
121,144,45
122,6,14
123,61,82
124,147,6
125,35,55
126,12,110
127,53,98
128,60,37
129,140,85
130,138,121
131,32,53
132,137,113
133,105,130
134,68,59
135,43,91
136,19,137
137,21,117
138,72,11
139,101,3
140,67,79
141,63,65
142,16,66
143,9,138
144,94,101
145,66,144
146,87,77
147,92,134
148,107,68
149,130,42
